Data;Último;Abertura;Máxima;Mínima;Var%
set/21;5,4545;5,1694;5,4666;5,131;5,93%
ago/21;5,1492;5,2158;5,4757;5,1101;-1,21%
jul/21;5,2123;4,9705;5,3145;4,9467;4,90%
jun/21;4,9686;5,221;5,2212;4,8929;-4,77%
mai/21;5,2172;5,436;5,4843;5,1964;-4,04%
abr/21;5,4366;5,633;5,7562;5,3274;-3,46%
mar/21;5,6315;5,587;5,8787;5,4482;0,59%
fev/21;5,5986;5,4663;5,6093;5,3042;2,49%
jan/21;5,4625;5,1351;5,5166;5,1197;5,18%
dez/20;5,1937;5,3158;5,3301;5,01;-2,59%
nov/20;5,3319;5,743;5,7667;5,2235;-7,18%
out/20;5,7446;5,6109;5,8084;5,483;2,38%
set/20;5,6112;5,4927;5,6786;5,2102;2,18%
ago/20;5,4914;5,2223;5,6733;5,2115;5,12%
jul/20;5,224;5,466;5,4763;5,0827;-4,43%
jun/20;5,4661;5,334;5,5082;4,8175;2,44%
mai/20;5,3361;5,4861;5,9718;5,2691;-2,73%
abr/20;5,4858;5,2252;5,7484;5,0487;5,40%
mar/20;5,2046;4,4949;5,255;4,4521;16,35%
fev/20;4,4733;4,2816;4,5143;4,2086;4,47%
jan/20;4,282;4,0197;4,2905;4,0037;6,54%
dez/19;4,019;4,2362;4,2541;4,0083;-5,13%
nov/19;4,2364;4,0173;4,2778;3,9692;5,45%
out/19;4,0174;4,1564;4,1873;3,9637;-3,31%
set/19;4,1551;4,144;4,1948;4,0265;0,26%
ago/19;4,1445;3,8154;4,1949;3,8107;8,71%
jul/19;3,8125;3,8373;3,8812;3,7178;-1,02%
jun/19;3,8518;3,9232;3,9344;3,8066;-1,78%
mai/19;3,9218;3,9196;4,1221;3,9086;0,03%
abr/19;3,9207;3,8897;4,0065;3,8147;-0,08%
mar/19;3,9238;3,751;4,016;3,7381;4,60%
fev/19;3,7511;3,6455;3,7956;3,6385;2,94%
jan/19;3,6439;3,8793;3,8976;3,6363;-6,09%
dez/18;3,8804;3,8669;3,9461;3,8149;0,37%
nov/18;3,8662;3,7222;3,9448;3,6792;3,88%
out/18;3,7218;4,0496;4,0637;3,5817;-8,05%
set/18;4,0477;4,0921;4,2109;3,9669;-0,17%
ago/18;4,0545;3,7566;4,2151;3,6902;7,96%
jul/18;3,7557;3,8781;3,9533;3,6879;-3,12%
jun/18;3,8765;3,7248;3,9678;3,6677;4,14%
mai/18;3,7225;3,5075;3,7768;3,5072;6,16%
abr/18;3,5066;3,3045;3,5159;3,2954;6,11%
mar/18;3,3046;3,2462;3,3466;3,2057;1,81%
fev/18;3,2458;3,1853;3,3189;3,1617;1,88%
jan/18;3,1858;3,3135;3,3135;3,1198;-3,81%
dez/17;3,3121;3,2727;3,3482;3,2199;1,21%
nov/17;3,2726;3,2727;3,3354;3,2005;0,01%
out/17;3,2724;3,1641;3,3031;3,1221;3,51%
set/17;3,1614;3,1472;3,2004;3,0789;0,44%
ago/17;3,1474;3,127;3,2208;3,1074;0,69%
jul/17;3,1259;3,319;3,331;3,1102;-5,46%
jun/17;3,3063;3,2266;3,3498;3,2146;2,48%
mai/17;3,2262;3,1748;3,4246;3,0873;1,59%
abr/17;3,1758;3,1233;3,2146;3,08;1,69%
mar/17;3,123;3,1095;3,1985;3,0596;0,46%
fev/17;3,1086;3,1515;3,1634;3,0387;-1,34%
jan/17;3,1507;3,2547;3,2926;3,1016;-3,15%
dez/16;3,2532;3,3854;3,4927;3,2408;-3,83%
nov/16;3,3827;3,1891;3,508;3,1621;6,11%
out/16;3,1878;3,2631;3,264;3,1017;-2,18%
set/16;3,2589;3,2262;3,3678;3,1649;1,00%
ago/16;3,2266;3,2496;3,2927;3,1127;-0,63%
jul/16;3,2471;3,2137;3,3712;3,196;1,07%
jun/16;3,2126;3,6095;3,636;3,1824;-11,02%
mai/16;3,6105;3,4364;3,6762;3,4337;5,10%
