MÊS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO
jan/13;OLEO DIESEL;32749;R$/l;2,156;0,114;1,869;2,95;0,23;0,053;1,926;0,08;1,398;2,57;0,042
jan/13;OLEO DIESEL S10;4741;R$/l;2,235;0,108;1,99;2,95;0,245;0,048;1,99;0,073;1,8;2,47;0,037
jan/13;ETANOL HIDRATADO;39584;R$/l;1,956;0,244;1,479;3,12;0,266;0,125;1,69;0,222;1,22;2,475;0,131
jan/13;GASOLINA COMUM;41990;R$/l;2,763;0,148;2,229;3,899;0,386;0,054;2,377;0,109;2,08;2,895;0,046
jan/13;GLP;39597;R$/13kg;40,164;3,964;26;62;10,31;0,099;29,854;4,462;15;45;0,149
jan/13;GNV;2401;R$/m3;1,764;0,171;1,379;2,599;0,407;0,097;1,357;0,154;0,835;1,913;0,113
fev/13;OLEO DIESEL;26614;R$/l;2,252;0,114;1,949;2,98;0,263;0,051;1,989;0,086;1,475;2,57;0,043
fev/13;OLEO DIESEL S10;6671;R$/l;2,33;0,116;2,059;3,05;0,267;0,05;2,063;0,086;1,796;2,554;0,042
fev/13;ETANOL HIDRATADO;32570;R$/l;2;0,239;1,48;3,15;0,267;0,12;1,733;0,217;1,3;2,601;0,125
fev/13;GASOLINA COMUM;34664;R$/l;2,887;0,146;2,39;3,899;0,424;0,051;2,463;0,106;2,095;2,965;0,043
fev/13;GLP;32171;R$/13kg;40,414;3,976;26;62;10,528;0,098;29,886;4,503;14,663;45;0,151
fev/13;GNV;2035;R$/m3;1,77;0,165;1,399;2,599;0,432;0,093;1,338;0,149;0,837;1,896;0,111
mar/13;OLEO DIESEL;26438;R$/l;2,301;0,118;1,949;2,99;0,264;0,051;2,037;0,087;1,68;2,602;0,043
mar/13;OLEO DIESEL S10;7374;R$/l;2,388;0,125;2,029;3,05;0,268;0,052;2,12;0,09;1,889;2,57;0,042
mar/13;ETANOL HIDRATADO;32591;R$/l;2,058;0,23;1,58;3,15;0,254;0,112;1,804;0,21;1,298;2,659;0,116
mar/13;GASOLINA COMUM;34663;R$/l;2,886;0,148;2,44;3,939;0,401;0,051;2,485;0,104;2,125;2,944;0,042
mar/13;GLP;32061;R$/13kg;40,513;4,031;26;62;10,528;0,099;29,985;4,622;14,66;45;0,154
mar/13;GNV;2043;R$/m3;1,776;0,165;1,399;2,599;0,424;0,093;1,352;0,152;0,952;2,222;0,112
abr/13;OLEO DIESEL;29656;R$/l;2,332;0,114;1,899;3,02;0,272;0,049;2,06;0,084;1,638;2,69;0,041
abr/13;OLEO DIESEL S10;9488;R$/l;2,426;0,123;2,15;3,1;0,268;0,051;2,158;0,09;1,71;2,638;0,042
abr/13;ETANOL HIDRATADO;36797;R$/l;2,064;0,238;1,58;3,16;0,262;0,115;1,802;0,22;1,3;2,66;0,122
abr/13;GASOLINA COMUM;39290;R$/l;2,876;0,152;2,39;3,939;0,397;0,053;2,479;0,103;2,078;2,95;0,042
abr/13;GLP;35620;R$/13kg;40,743;4,123;27;62;10,821;0,101;29,922;4,567;14,66;45;0,153
abr/13;GNV;2435;R$/m3;1,784;0,167;1,399;2,599;0,411;0,094;1,373;0,165;0,952;2,222;0,12
mai/13;OLEO DIESEL;28753;R$/l;2,333;0,114;1,969;3,06;0,274;0,049;2,059;0,082;1,65;2,607;0,04
mai/13;OLEO DIESEL S10;10113;R$/l;2,43;0,122;2,049;3,1;0,271;0,05;2,159;0,088;1,874;2,653;0,041
mai/13;ETANOL HIDRATADO;36036;R$/l;2,029;0,261;1,389;3,16;0,301;0,129;1,728;0,265;1,235;2,66;0,153
mai/13;GASOLINA COMUM;38624;R$/l;2,862;0,16;2,329;3,929;0,396;0,056;2,466;0,111;2,1;2,98;0,045
mai/13;GLP;36658;R$/13kg;40,899;4,173;27;62;10,937;0,102;29,962;4,706;15,87;45;0,157
mai/13;GNV;2215;R$/m3;1,777;0,159;1,379;2,599;0,415;0,089;1,362;0,157;0,952;1,872;0,115
jun/13;OLEO DIESEL;25620;R$/l;2,333;0,115;1,949;3,06;0,277;0,049;2,056;0,081;1,75;2,607;0,039
jun/13;OLEO DIESEL S10;9446;R$/l;2,432;0,121;2,14;3,1;0,268;0,05;2,164;0,08;1,925;2,678;0,037
jun/13;ETANOL HIDRATADO;32257;R$/l;1,943;0,297;1,29;3,16;0,329;0,153;1,614;0,285;1,159;2,501;0,177
jun/13;GASOLINA COMUM;34590;R$/l;2,848;0,168;2,309;3,699;0,4;0,059;2,448;0,113;2,12;2,971;0,046
jun/13;GLP;32093;R$/13kg;40,908;4,189;27;62;10,887;0,102;30,021;4,644;15,87;45;0,155
jun/13;GNV;2071;R$/m3;1,786;0,164;1,35;2,799;0,423;0,092;1,363;0,162;0,952;2,221;0,119
jul/13;OLEO DIESEL;31274;R$/l;2,333;0,115;1,969;3,06;0,278;0,049;2,055;0,082;1,7;2,65;0,04
jul/13;OLEO DIESEL S10;12136;R$/l;2,431;0,12;2,029;3,1;0,27;0,049;2,161;0,081;1,889;2,734;0,037
jul/13;ETANOL HIDRATADO;39298;R$/l;1,918;0,301;1,29;3,12;0,303;0,157;1,615;0,267;1,159;2,501;0,165
jul/13;GASOLINA COMUM;42206;R$/l;2,839;0,17;2,255;3,699;0,397;0,06;2,442;0,115;2,082;2,95;0,047
jul/13;GLP;38175;R$/13kg;40,899;4,237;27;62;10,699;0,104;30,2;4,645;14,66;45;0,154
jul/13;GNV;2512;R$/m3;1,792;0,163;1,379;2,799;0,412;0,091;1,38;0,165;0,938;1,949;0,12
ago/13;OLEO DIESEL;26091;R$/l;2,331;0,115;1,989;3,06;0,281;0,049;2,05;0,083;1,752;2,656;0,04
ago/13;OLEO DIESEL S10;10755;R$/l;2,43;0,12;2,179;3,15;0,271;0,049;2,159;0,082;1,911;2,678;0,038
ago/13;ETANOL HIDRATADO;33169;R$/l;1,902;0,303;1,259;3,12;0,325;0,159;1,577;0,275;1,154;2,396;0,174
ago/13;GASOLINA COMUM;35609;R$/l;2,835;0,169;2,349;3,699;0,401;0,06;2,434;0,117;2,082;2,95;0,048
ago/13;GLP;33888;R$/13kg;40,975;4,248;27;62;10,958;0,104;30,017;4,853;14,66;45;0,162
ago/13;GNV;2135;R$/m3;1,785;0,17;1,399;2,799;0,403;0,095;1,382;0,164;0,93;1,949;0,119
set/13;OLEO DIESEL;27230;R$/l;2,331;0,116;1,989;3,06;0,28;0,05;2,051;0,083;1,72;2,656;0,04
set/13;OLEO DIESEL S10;12131;R$/l;2,43;0,119;2,176;3,15;0,271;0,049;2,159;0,082;1,923;2,674;0,038
set/13;ETANOL HIDRATADO;34648;R$/l;1,895;0,302;1,279;3,02;0,31;0,159;1,585;0,258;1,184;2,515;0,163
set/13;GASOLINA COMUM;37335;R$/l;2,834;0,168;2,37;3,699;0,4;0,059;2,434;0,116;2,025;2,942;0,048
set/13;GLP;33009;R$/13kg;41,532;4,391;26;62;11,579;0,106;29,953;5,039;14,66;45;0,168
set/13;GNV;2236;R$/m3;1,787;0,177;1,399;2,699;0,413;0,099;1,374;0,184;1;2,265;0,134
out/13;OLEO DIESEL;29298;R$/l;2,332;0,117;1,949;3,06;0,283;0,05;2,049;0,084;1,48;2,656;0,041
out/13;OLEO DIESEL S10;13591;R$/l;2,428;0,12;1,938;3,15;0,272;0,049;2,156;0,085;1,966;2,674;0,039
out/13;ETANOL HIDRATADO;37563;R$/l;1,914;0,289;1,396;2,999;0,289;0,151;1,625;0,239;1,219;2,456;0,147
out/13;GASOLINA COMUM;40480;R$/l;2,834;0,169;2,35;3,699;0,392;0,06;2,442;0,115;2,025;2,972;0,047
out/13;GLP;38944;R$/13kg;42,112;4,323;26;62;11,894;0,103;30,218;5,192;14,66;45;0,172
out/13;GNV;2461;R$/m3;1,79;0,18;1,389;2,699;0,413;0,101;1,377;0,188;1,011;2,265;0,137
nov/13;OLEO DIESEL;24764;R$/l;2,332;0,117;1,989;3,06;0,282;0,05;2,05;0,083;1,72;2,656;0,04
nov/13;OLEO DIESEL S10;11969;R$/l;2,428;0,121;2,026;3,1;0,272;0,05;2,156;0,083;1,908;2,675;0,038
nov/13;ETANOL HIDRATADO;32090;R$/l;1,932;0,282;1,379;2,999;0,292;0,146;1,64;0,232;1,23;2,416;0,141
nov/13;GASOLINA COMUM;34574;R$/l;2,841;0,166;2,33;3,99;0,395;0,058;2,446;0,115;2,025;2,961;0,047
