Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
set/21;78,25;71,68;79,94;70,42;97,97K;7,21%
ago/21;72,99;75,39;75,39;64,6;5,51M;-4,38%
jul/21;76,33;74,69;77,84;67,44;5,85M;1,60%
jun/21;75,13;69,39;76,6;69,29;5,06M;8,38%
mai/21;69,32;66,7;70,24;64,57;5,09M;3,08%
abr/21;67,25;63,12;68,95;61,25;5,05M;5,84%
mar/21;63,54;64,85;71,38;60,27;6,63M;-3,92%
fev/21;66,13;54,91;67,7;54,6;5,09M;18,34%
jan/21;55,88;51,5;57,42;50,56;5,27M;7,88%
dez/20;51,8;47,79;52,48;46,82;4,51M;8,85%
nov/20;47,59;37,37;49,09;35,74;5,04M;27,04%
out/20;37,46;42,17;43,57;36,64;5,15M;-8,52%
set/20;40,95;45,6;46,22;39,3;4,40M;-9,56%
ago/20;45,28;43,53;46,53;42,89;3,61M;4,57%
jul/20;43,3;41,58;44,89;41,03;4,03M;5,22%
jun/20;41,15;37,56;43,93;37,01;4,28M;16,47%
mai/20;35,33;26,95;36,98;25,5;3,80M;39,81%
abr/20;25,27;25,99;36,4;15,98;6,45M;11,13%
mar/20;22,74;48,95;53,9;21,65;7,36M;-54,99%
fev/20;50,52;56,16;60;50,05;5,27M;-13,14%
jan/20;58,16;66,41;71,75;57,71;5,80M;-11,88%
dez/19;66;60,73;68,99;60,3;4,45M;5,72%
nov/19;62,43;59,45;64,6;59,4;4,79M;3,65%
out/19;60,23;59,38;62,34;56,15;5,61M;-0,90%
set/19;60,78;58,8;71,95;57,23;5,63M;0,58%
ago/19;60,43;64,09;64,54;55,88;5,98M;-7,27%
jul/19;65,17;65,05;67,65;61,29;5,71M;-2,07%
jun/19;66,55;61,64;66,85;59,45;5,70M;3,19%
mai/19;64,49;71,73;73,4;64,37;6,13M;-11,41%
abr/19;72,8;67,58;75,6;67,58;5,49M;6,45%
mar/19;68,39;66,48;68,89;64,02;4,84M;3,57%
fev/19;66,03;61,06;67,73;60,46;4,55M;6,69%
jan/19;61,89;54,12;63,15;52,51;5,48M;15,04%
dez/18;53,8;59,98;63,73;49,93;4,73M;-8,36%
nov/18;58,71;74,69;74,99;57,5;6,26M;-22,21%
out/18;75,47;82,79;86,74;75,09;6,90M;-8,76%
set/18;82,72;77,69;82,87;75,64;4,69M;6,85%
ago/18;77,42;74,07;78,03;70,3;4,73M;4,27%
jul/18;74,25;78,55;79,51;71,19;5,56M;-6,53%
jun/18;79,44;77,71;79,7;72,45;5,97M;2,38%
mai/18;77,59;74,65;80,5;72,38;6,37M;3,22%
abr/18;75,17;69,32;75,47;66,69;6,23M;6,97%
mar/18;70,27;64,57;71,05;63,19;5,34M;6,83%
fev/18;65,78;69;70,02;61,76;5,66M;-4,74%
jan/18;69,05;66,55;71,28;66,24;5,48M;3,26%
dez/17;66,87;62,74;67,1;61,13;4,86M;5,19%
nov/17;63,57;61,07;64,65;60;6,25M;3,58%
out/17;61,37;56,73;61,41;55,06;6,55M;6,66%
set/17;57,54;52,84;59,49;51,99;5,05M;9,85%
ago/17;52,38;52,7;53,64;50;6,33M;-0,51%
jul/17;52,65;48,95;52,92;46,11;5,44M;9,87%
jun/17;47,92;51,17;51,45;44,35;6,85M;-4,75%
mai/17;50,31;51,88;54,67;46,64;7,34M;-2,75%
abr/17;51,73;53,62;56,65;50,45;5,47M;-2,08%
mar/17;52,83;56,45;57,05;49,71;6,24M;-4,96%
fev/17;55,59;55,55;57,45;54,44;5,08M;-0,20%
jan/17;55,7;57,05;58,37;53,58;5,55M;-1,97%
dez/16;56,82;51,72;57,89;51,51;5,16M;12,58%
nov/16;50,47;48,72;50,49;43,57;6,24M;4,49%
out/16;48,3;50,02;53,73;47,98;5,41M;-1,55%
set/16;49,06;46,98;50,14;45,09;5,44M;4,29%
ago/16;47,04;43,11;51,22;41,51;5,62M;10,79%
jul/16;42,46;49,9;50,75;41,8;4,89M;-14,53%
jun/16;49,68;49,65;52,86;46,69;5,06M;-0,02%
mai/16;49,69;47,37;50,51;43,33;5,50M;3,24%
abr/16;48,13;40,14;48,5;37,27;5,67M;21,54%
mar/16;39,6;36,6;42,54;35,95;5,29M;10,09%
fev/16;35,97;35,85;37;29,92;6,11M;3,54%
jan/16;34,74;37,85;38,99;27,1;5,13M;-6,81%
dez/15;37,28;44,62;45,18;35,98;4,34M;-16,43%
nov/15;44,61;49,5;50,91;43,15;4,64M;-9,99%
out/15;49,56;48,4;54,05;46,41;4,60M;2,46%
set/15;48,37;52,92;53,47;45,98;4,49M;-10,67%
ago/15;54,15;51,55;54,32;42,23;5,04M;3,72%
jul/15;52,21;63,02;63,35;51,63;4,72M;-17,90%
